,Coeff,Intercept,intercept
id,[1.53932217e-10],,0.3679082764444597
radius_mean,[0.1002466],,-1.0436294533917057
texture_mean,[0.04671331],,-0.5284998716153357
perimeter_mean,[0.0147897],,-0.9876110394519313
area_mean,[0.00097493],,-0.2658845158365343
smoothness_mean,[12.33731689],,-0.8162438444878652
compactness_mean,[5.46597772],,-0.19774201494712274
concavity_mean,[4.22706692],,-0.002777170796812889
concave points_mean,[9.68530487],,-0.10121336205844661
symmetry_mean,[5.83397329],,-0.68430998893687
fractal_dimension_mean,[-0.87989054],,0.4278385028955152
radius_se,[0.98966332],,-0.028400441939137544
texture_se,[-0.00728386],,0.3814468747842145
perimeter_se,[0.13310872],,-0.00891399668726145
area_se,[0.00583195],,0.13733969909420535
smoothness_se,[-10.80101818],,0.44863322097858377
compactness_se,[7.91747686],,0.17086090496064432
concavity_se,[4.06758578],,0.24285305260080597
concave points_se,[32.00160223],,-0.004911806957127507
symmetry_se,[-0.38178719],,0.38042626635134263
fractal_dimension_se,[14.25972823],,0.31846918197856405
radius_worst,[0.07774077],,-0.8921958755718071
texture_worst,[0.03597368],,-0.5511206250514439
perimeter_worst,[0.01127493],,-0.8367788570759294
area_worst,[0.00062371],,-0.1766410968271116
smoothness_worst,[8.93266374],,-0.8098206604986335
compactness_worst,[1.81772621],,-0.08960075454860966
concavity_worst,[1.53000995],,-0.04386760778820126
concave points_worst,[5.84219029],,-0.2969678842276958
symmetry_worst,[3.25619102],,-0.5719579903837974
fractal_dimension_worst,[8.67755095],,-0.35586062648347627
