,0
id,6.473751801630769
radius_mean,0.9423795716730992
texture_mean,0.6504495420828159
perimeter_mean,0.9906504253930081
area_mean,1.6457321756240424
smoothness_mean,0.45632376481955844
compactness_mean,1.1901230311980404
concavity_mean,1.4011797389486722
concave points_mean,1.1711800812336282
symmetry_mean,0.7256089733641999
fractal_dimension_mean,1.3044888125755076
radius_se,3.0886121663847574
texture_se,1.646443808753053
perimeter_se,3.443615202194899
area_se,5.447186284898394
smoothness_se,2.314450056636759
compactness_se,1.9022207096378565
concavity_se,5.110463049043661
concave points_se,1.4446781446974786
symmetry_se,2.1951328995478216
fractal_dimension_se,3.923968620227413
radius_worst,1.1031152059604372
texture_worst,0.49832130948716474
perimeter_worst,1.1281638713683722
area_worst,1.8593732724433467
smoothness_worst,0.4154259962824678
compactness_worst,1.4735549003297956
concavity_worst,1.1502368219460262
concave points_worst,0.49261552688550875
symmetry_worst,1.433927765189328
fractal_dimension_worst,1.6625792663955146
